id,description
1,Capable
2,Artificial
3,Clever
4,Cautious
5,Confident
6,Egotistical
7,Commonplace
8,Humourous
9,Conservative
10,Individualistic
11,Conventional
12,Informal
13,Dissatisfied
14,Insightful
15,Suspicious
16,Honest
17,Intelligent
18,"Well mannered"
19,"Wide interests"
20,Inventive
21,Original
22,"Narrow interests"
23,Reflective
24,Sincere
25,Resourceful
26,Self-confident
27,Sexy
28,Submissive
29,Snobbish
30,Unconventional
